symbol,side,strategy_id,entry_time,exit_time,entry_price,exit_price,pnl,pnl_pct,reason,bars_held,breakeven_activated,confidence,flip_level,flip_breached_bar,flip_breached_before_exit,flip_timing,would_pass_production,production_min_confidence,run,closed,won,meta_ema_50,meta_ema_200,meta_macd,meta_macd_signal,meta_macd_hist,meta_macd_hist_prev,meta_rsi,meta_atr,meta_trend_strength,meta_cross_strength,meta_rsi_room,meta_flip_level,meta_bb_width,meta_bb_width_percentile,meta_resistance_level,meta_support_level,meta_breakout_level,meta_volume,meta_volume_ma_20,meta_volume_ratio,meta_squeeze_intensity,meta_volume_strength,meta_macd_strength,meta_suggested_take_profit,meta_suggested_stop_loss
BTC/USDT,long,trend_momentum,2024-10-04 04:00:00,2024-10-04 08:00:00,60951.99,61449.84,0.0408,0.8168,flip_level,1,False,0.630136,62765.241593,1.0,True,before_exit,True,0.45,A2,True,True,62765.24159251154,61416.80444250302,-883.6807874375882,-917.9946875045966,34.31390006700849,-2.330458056003181,40.113543560462794,949.1959639615426,0.4391101628450568,0.4825710326726635,0.3314409406589534,62765.24159251154,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2024-10-11 16:00:00,2024-10-14 12:00:00,62259.04,65631.315454,0.2708,5.4165,take_profit,17,True,0.633007,61897.859751,,False,never,True,0.45,A2,True,True,61897.85975074297,61598.0734470002,-331.31511285630404,-402.99238105898,71.67726820267598,-46.97827933905097,56.53100373124869,808.3387760201776,0.09733625971296465,1.0,0.05781660447918853,61897.85975074297,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2024-10-24 16:00:00,2024-10-25 16:00:00,67701.21,66198.53688,-0.111,-2.2196,stop_loss,6,False,0.796649,67042.094076,6.0,True,before_exit,True,0.45,A2,True,False,67042.0940764329,64415.596674946166,-146.52044290806225,-194.47478381982813,47.95434091176588,-6.599482685234648,55.75777101052302,734.2862953321473,0.8154849250999127,0.9286878963933889,0.07070381649128296,67042.0940764329,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2024-10-27 16:00:00,2024-10-29 00:00:00,67792.0,70388.293855,0.1915,3.8298,take_profit,8,True,0.743233,67196.312008,,False,never,True,0.45,A2,True,True,67196.31200756422,64903.423101875436,-31.92622962759924,-74.08160485249265,42.155375224893405,-2.0794456032087965,56.67498781191785,663.6852687388517,0.7065540756116238,0.8331287228989975,0.05541686980136914,67196.31200756422,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2024-11-05 08:00:00,2024-11-05 16:00:00,68894.0,68995.99,0.0074,0.148,flip_level,2,False,0.750801,69133.634056,2.0,True,before_exit,True,0.45,A2,True,True,69133.63405605551,66876.48096700571,-406.78531444490363,-425.1390273493979,18.353712904494273,-41.88414127373085,48.75928918929213,923.0133409358275,0.6750214892925926,0.8157771332583204,0.18734518017846444,69133.63405605551,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2024-11-27 20:00:00,2024-12-01 20:00:00,96627.99,97185.18,0.0288,0.5766,time_stop,24,False,0.857017,94538.203111,,False,never,True,0.45,A2,True,True,94538.20311100164,84686.79389931433,-556.3784839159343,-755.8350175684046,199.45653365247028,-23.191268281841417,57.19303702718652,1687.2264160662746,1.0,1.0,0.046782716213558,94538.20311100164,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2024-12-01 20:00:00,2024-12-02 08:00:00,97178.73,95126.516779,-0.1056,-2.1118,stop_loss,3,False,0.647266,95776.482105,3.0,True,before_exit,True,0.45,A2,True,False,95776.48210543698,87196.94897494465,371.0621239919128,362.70784317944145,8.354280812471359,-4.119199940784881,56.29987983423817,1025.3463496614659,1.0,0.1520642361161006,0.06166866942936385,95776.48210543698,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2024-12-04 12:00:00,2024-12-05 00:00:00,96190.41,101212.094488,0.261,5.2206,take_profit,3,True,0.680449,95859.148283,,False,never,True,0.45,A2,True,True,95859.14828324497,88494.03271665749,-69.42996176274028,-78.10748586876923,8.677524106028955,-14.58035159172259,50.91030914837203,1259.1004391649135,1.0,0.23089774030633636,0.15149484752713285,95859.14828324497,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2024-12-21 12:00:00,2024-12-21 16:00:00,98262.08,97269.03,-0.0505,-1.0106,flip_level,1,False,0.766784,100661.367134,1.0,True,before_exit,True,0.45,A2,True,False,100661.36713359864,96336.83989421254,-1526.770042771066,-1544.9102146619584,18.14017189089236,-90.62971062601719,44.68573510799768,2206.4704170157634,0.8977930445164842,0.6161983958526175,0.2552377482000387,100661.36713359864,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2024-12-23 04:00:00,2024-12-23 08:00:00,96025.15,95932.42,-0.0048,-0.0966,flip_level,1,False,0.654015,99221.46227,1.0,True,before_exit,True,0.45,A2,True,False,99221.46226964727,96339.0370767979,-1434.9207770561043,-1447.0165017037634,12.095724647659154,-53.764444690134496,41.87962684832597,1886.1895404898053,0.5983919458425973,0.4364630908241802,0.30200621919456716,99221.46226964727,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2024-12-24 08:00:00,2024-12-24 12:00:00,94233.2,94233.2,0.0,0.0,breakeven,1,True,0.542992,98047.422698,2.0,False,after_exit,True,0.45,A2,True,False,98047.42269761565,96210.3122954412,-1437.746505910647,-1466.093905606949,28.347399696301864,-0.7554964490100247,40.376747172573886,1876.7082853329364,0.3818946968040355,0.19384270035972123,0.32705421379043526,98047.42269761565,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2024-12-29 04:00:00,2024-12-29 08:00:00,95172.41,95032.57,-0.0073,-0.1469,flip_level,1,False,0.515191,96651.01816,1.0,True,before_exit,True,0.45,A2,True,False,96651.01816020226,96236.54067097227,-579.3231157112459,-583.5126684250548,4.189552713808894,-39.85744420486242,46.31874893399177,1257.5872850133278,0.08613723775609665,0.4378125224743794,0.22802085110013717,96651.01816020226,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2025-01-24 12:00:00,2025-01-26 20:00:00,105420.11,102620.0,-0.1328,-2.6561,flip_level,14,False,0.6797,102969.793753,14.0,True,before_exit,True,0.45,A2,True,False,102969.79375301544,99088.57798079011,257.8992406215548,226.48268566984027,31.416554951714517,-55.701704043705604,55.4270179665083,2223.8325669101464,0.7833830803339951,0.4896853538554872,0.07621636722486164,102969.79375301544,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2025-01-28 12:00:00,2025-01-28 16:00:00,102762.02,102424.24,-0.0164,-0.3287,flip_level,1,False,0.711578,103027.724724,1.0,True,before_exit,True,0.45,A2,True,False,103027.72472389502,100001.25503045625,-662.5428993552487,-675.7659801594076,13.22308080415894,-85.9033465737366,49.1029265800222,1692.6055226961073,0.6052863421598135,0.7320550037258506,0.18161789033296336,103027.72472389502,,,,,,,,,,,,,
BTC/USDT,long,trend_momentum,2025-02-03 20:00:00,2025-02-04 00:00:00,101879.99,100629.7,-0.0614,-1.2272,flip_level,1,False,0.652095,101302.452957,1.0,True,before_exit,True,0.45,A2,True,False,101302.45295663169,100490.00069857479,-1401.8886368523526,-1461.0961409655033,59.20750411315066,-359.06901736551185,55.33177573875123,2255.3106949967782,0.1616981296465302,1.0,0.07780373768747945,101302.45295663169,,,,,,,,,,,,,
BTC/USDT,short,trend_momentum,2025-02-08 12:00:00,2025-02-12 12:00:00,96120.0,95816.18,0.0158,0.3161,time_stop,24,False,0.458571,98745.321342,,False,never,True,0.45,A2,True,True,98745.32134157079,99814.9777284845,-683.7542127524794,-671.3375634600018,-12.416649292477587,11.762437755098517,41.92032300730241,1505.5302900851282,0.2143278316052694,0.20075224662375385,0.03200538345504012,98745.32134157079,,,,,,,,,,,,,
BTC/USDT,short,trend_momentum,2025-02-13 16:00:00,2025-02-14 16:00:00,95998.0,98508.135649,-0.1307,-2.6148,stop_loss,6,False,0.519294,97273.598505,6.0,True,before_exit,True,0.45,A2,True,False,97273.59850491238,98988.23823519684,-212.96051165486278,-191.48316861623405,-21.47734303862873,6.743293234064566,45.15736817721212,1263.594580006708,0.34643302292348277,0.27917020141602183,0.08595613628686867,97273.59850491238,,,,,,,,,,,,,
